Distance [m];volta 1 [km/h];volta2 [km/h];volta3 [km/h];volta4 [km/h];volta5 [km/h];volta6 [km/h];volta7 [km/h]
1210.36;105.910;177.085;176.566;176.057;176.720;182.520;184.488
1215.05;106.679;177.670;174.533;177.274;178.738;183.084;186.149
1219.76;106.663;180.740;177.876;176.427;180.828;184.316;185.230
1224.48;106.974;178.715;177.576;177.997;179.730;184.224;185.394
1229.22;107.324;180.405;177.620;178.699;180.446;185.292;185.885
1234.01;107.747;182.685;181.164;179.692;184.096;188.620;186.288
1238.86;108.468;181.470;179.616;181.399;181.062;187.957;186.591
1243.74;109.373;182.445;180.040;181.633;183.594;187.670;186.406
1248.63;110.799;183.735;182.856;182.063;183.548;189.072;189.698
1253.53;112.573;183.135;183.412;183.691;184.324;189.734;187.666
1258.45;114.020;184.980;182.472;184.906;185.048;190.202;188.279
1263.40;115.747;188.202;183.460;184.195;190.290;192.008;189.173
1268.42;116.888;186.614;185.396;186.220;187.078;191.996;189.879
1273.42;119.210;187.064;186.452;187.384;188.324;193.208;189.027
1278.44;119.534;188.886;186.092;187.058;188.694;194.402;189.097
1283.49;119.388;188.436;188.260;188.582;188.677;193.863;190.070
1288.56;130.432;189.904;187.952;187.616;189.812;194.773;189.421
1293.65;131.164;191.128;189.676;189.744;191.342;196.204;194.385
1298.77;132.584;190.542;189.448;191.242;191.991;196.533;193.721
1303.91;134.212;192.756;190.168;191.998;193.228;196.835;195.349
1309.08;133.966;192.524;192.076;192.344;193.635;198.320;196.661
1314.27;134.222;193.675;192.096;193.264;194.135;199.858;195.439
1319.48;134.622;194.925;195.268;192.898;194.677;199.508;196.467
1324.71;135.953;195.752;192.824;193.244;195.784;200.222;196.694
1329.96;136.754;195.330;195.376;194.674;196.977;199.612;197.767
1335.24;136.623;197.368;195.076;195.638;197.944;196.888;196.054
1340.54;136.447;197.876;195.200;196.270;197.466;195.932;198.134
1345.86;135.577;198.370;199.608;197.076;200.902;197.122;197.715
1351.20;135.109;198.776;197.472;198.340;199.572;201.330;197.215
1356.57;133.754;199.646;198.356;198.694;199.319;201.022;198.946
1361.95;133.554;199.982;199.048;198.712;201.047;200.956;198.903
1367.36;133.216;198.326;199.760;200.512;202.594;201.962;198.124
1372.78;132.439;197.363;201.400;201.972;197.123;202.728;198.197
1378.22;131.716;196.742;199.252;201.854;196.233;203.066;198.588
