Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
1,600657368;-18,70881653;2,590515137;3,863113403;19,27833576
1,604655171;-16,02731323;2,398986816;2,541519165;16,40393937
1,608622456;-13,22369385;2,147583008;1,500045776;13,48066501
1,612620259;-10,57810974;1,872253418;0,779388428;10,770756
1,616618061;-8,150390625;1,522705078;0,331665039;8,298041925
1,620615864;-5,945327759;1,063018799;0,0730896;6,04005573
1,624583149;-4,087432861;0,55065918;-0,063369751;4,124845288
1,628580952;-2,595840454;0,088577271;-0,1328125;2,600744654
1,632578755;-1,446624756;-0,304077148;-0,15435791;1,486274692
1,636576557;-0,642166138;-0,593765259;-0,17829895;0,892594559
1,64057436;-0,134597778;-0,780517578;-0,17829895;0,811858835
1,644541645;0,157485962;-0,885864258;-0,171112061;0,915880259
1,648539448;0,322692871;-0,943328857;-0,161529541;1,009995948
1,652537251;0,425643921;-0,972061157;-0,161529541;1,073390625
1,656535053;0,480712891;-0,991210938;-0,15914917;1,113064447
1,660502339;0,492675781;-0,998397827;-0,14956665;1,123342258
1,664500141;0,48789978;-0,993606567;-0,12802124;1,114311287
1,668497944;0,456771851;-0,991210938;-0,087310791;1,094880277
1,672495747;0,396911621;-0,986419678;-0,008300781;1,063311581
1,67649355;0,332275391;-0,981628418;0,087463379;1,040024581
1,680460835;0,238891602;-0,981628418;0,223922729;1,034797051
1,684458637;0,198196411;-0,964874268;0,300537109;1,029847913
1,68845644;0,167068481;-0,945724487;0,338851929;1,018394478
1,692454243;0,200592041;-0,931350708;0,310119629;1,00191092
1,696452046;0,255661011;-0,897827148;0,259841919;0,969006689
1,700419331;0,291564941;-0,861923218;0,209564209;0,933723142
1,704417134;0,296356201;-0,785308838;0,209564209;0,865132433
1,708414936;0,296356201;-0,679962158;0,233505249;0,77762474
1,712412739;0,291564941;-0,514755249;0,298156738;0,662480582
1,716380024;0,293960571;-0,275344849;0,362792969;0,542075955
1,720377827;0,250869751;0,131668091;0,319702148;0,42717863
1,72437563;0,382553101;0,806838989;0,101821899;0,898723388
